,基金,基金简称,1y,2y,3y,5y,3m,6m,1y_rank,2y_rank,3y_rank,5y_rank,3m_rank,6m_rank
1,1678,英大国企改革,19.96,53.24,105.13,14.71,9.33,34.28,1.0,36.0,64.0,9.0,12.0,1.0
2,756,建信潜力新蓝,14.93,89.91,181.03,0.0,4.5,19.21,2.0,11.0,13.0,80.0,50.0,10.0
3,161032,富国中证煤炭,13.52,128.26,133.16,7.83,9.98,24.65,3.0,3.0,39.0,23.0,8.0,2.0
6,168204,中融中证煤炭,12.33,128.48,128.55,0.0,3.58,22.01,6.0,2.0,41.0,80.0,61.0,6.0
8,729,建信中小盘先,11.44,98.44,216.35,0.0,4.51,16.22,8.0,8.0,3.0,80.0,49.0,20.0
10,3298,嘉实物流产业,9.68,33.69,85.55,7.95,1.68,4.61,10.0,89.0,99.0,21.0,106.0,107.0
12,3299,嘉实物流产业,9.17,32.44,83.25,7.43,1.59,4.36,12.0,90.0,104.0,30.0,110.0,113.0
13,6195,国金量化多因,8.12,29.76,48.81,8.77,3.23,9.76,13.0,96.0,271.0,18.0,67.0,50.0
14,991,工银战略转型,6.66,40.88,174.01,6.08,1.73,3.51,14.0,66.0,16.0,33.0,105.0,134.0
16,161724,招商中证煤炭,5.89,122.11,134.35,1.28,4.35,18.89,16.0,6.0,36.0,59.0,53.0,12.0
19,7671,建信中证红利,4.97,0.05,33.28,0.0,0.79,5.42,19.0,414.0,414.0,80.0,125.0,95.0
21,7672,建信中证红利,4.55,-0.77,31.63,0.0,0.68,5.2,21.0,438.0,436.0,80.0,129.0,101.0
25,501059,西部利得国企,3.57,36.68,77.34,0.59,3.48,13.14,25.0,76.0,119.0,70.0,65.0,28.0
27,979,景顺长城沪港,3.24,12.69,38.89,0.0,4.84,6.35,27.0,209.0,353.0,80.0,44.0,75.0
30,5561,创金合信中证,2.93,34.75,65.49,0.0,3.13,8.5,29.0,83.0,163.0,80.0,70.0,56.0
31,5562,创金合信中证,2.72,34.22,64.54,0.0,3.08,8.39,30.0,86.0,168.0,80.0,72.0,59.0
32,320020,诺安策略精选,2.52,22.86,55.48,1.54,-0.63,4.34,31.0,125.0,229.0,53.0,165.0,114.0
36,1208,诺安低碳经济,2.2,25.99,76.57,1.43,-0.84,3.44,35.0,110.0,120.0,56.0,171.0,138.0
37,7466,华泰柏瑞中证,2.2,26.24,48.69,-0.89,3.15,8.19,35.0,107.0,272.0,92.0,68.0,60.0
39,7467,华泰柏瑞中证,1.95,25.61,47.43,-1.14,3.09,8.06,37.0,111.0,284.0,98.0,71.0,61.0
42,1476,中银智能制造,1.45,69.48,211.48,1.5,4.83,11.85,40.0,19.0,4.0,54.0,45.0,35.0
44,1473,建信大安全战,0.94,17.1,86.4,0.0,-0.62,0.37,42.0,168.0,96.0,80.0,164.0,265.0
45,501029,华宝标普中国,0.89,16.94,39.53,-0.96,0.29,2.69,43.0,170.0,348.0,95.0,135.0,166.0
46,3634,嘉实农业产业,0.82,-2.15,54.87,2.93,-4.89,0.75,44.0,483.0,232.0,45.0,419.0,249.0
47,2236,大成360互,0.56,9.31,53.0,0.82,1.58,-1.95,45.0,244.0,243.0,67.0,111.0,386.0
48,5125,华宝标普中国,0.49,16.01,37.86,-1.35,0.18,2.48,46.0,175.0,368.0,101.0,138.0,176.0
51,2229,华夏经济转型,0.35,5.14,73.9,0.22,7.1,11.8,49.0,309.0,130.0,76.0,24.0,36.0
54,4698,博时军工主题,0.05,24.17,103.94,-1.51,2.91,6.04,51.0,118.0,66.0,104.0,76.0,83.0
56,160643,鹏华空天军工,0.0,23.81,73.0,0.0,7.41,8.47,52.0,120.0,133.0,80.0,20.0,57.0
59,3359,大成360互,-0.06,7.98,50.19,0.19,1.37,-2.26,55.0,263.0,266.0,77.0,117.0,404.0
60,164402,前海开源中航,-0.09,27.08,60.41,0.0,9.1,10.69,56.0,106.0,193.0,80.0,14.0,44.0
63,1404,招商移动互联,-0.16,25.51,84.45,-1.93,13.1,9.36,59.0,112.0,102.0,110.0,5.0,55.0
64,5161,华商上游产业,-0.17,56.5,133.27,0.0,-1.27,5.69,60.0,33.0,38.0,80.0,190.0,92.0
69,1583,安信新常态股,-0.67,6.77,42.04,0.0,-2.43,-2.52,64.0,280.0,322.0,80.0,237.0,424.0
74,596,前海开源中证,-1.21,19.18,63.8,0.0,6.39,5.97,69.0,149.0,172.0,80.0,35.0,85.0
75,1521,国寿安保成长,-1.29,18.06,75.62,0.0,5.7,9.52,70.0,159.0,123.0,80.0,39.0,53.0
76,2199,前海开源中证,-1.46,18.66,62.8,0.0,6.4,5.88,71.0,154.0,176.0,80.0,34.0,88.0
77,1579,国泰大农业股,-1.55,-4.79,50.97,-0.5,-5.29,-0.46,72.0,553.0,264.0,88.0,454.0,306.0
80,6712,前海开源MS,-1.83,8.3,57.03,0.0,-5.36,6.22,75.0,257.0,220.0,80.0,460.0,78.0
83,6713,前海开源MS,-2.03,7.86,56.08,0.0,-5.41,6.11,78.0,266.0,225.0,80.0,465.0,81.0
85,1042,华夏领先股票,-2.09,5.56,37.65,-1.73,1.79,4.46,80.0,301.0,372.0,107.0,102.0,111.0
90,5235,银华食品饮料,-2.38,12.42,80.33,-0.1,-6.08,2.82,85.0,214.0,110.0,81.0,523.0,161.0
91,1048,富国新兴产业,-2.57,28.01,70.96,-2.16,14.76,19.56,86.0,103.0,142.0,115.0,3.0,9.0
92,1645,国泰大健康股,-2.67,2.51,90.54,-0.46,-0.96,-1.81,87.0,353.0,87.0,85.0,176.0,375.0
95,5236,银华食品饮料,-2.78,11.53,78.2,-0.49,-6.17,2.61,89.0,224.0,115.0,87.0,530.0,171.0
102,893,工银创新动力,-3.21,15.43,51.09,-3.83,-4.23,-1.63,95.0,180.0,261.0,145.0,362.0,363.0
104,6868,华夏科技成长,-3.35,3.26,76.52,-3.84,5.66,9.98,97.0,338.0,121.0,146.0,40.0,48.0
108,160630,鹏华国防A,-3.85,15.18,64.82,0.0,7.87,7.69,101.0,184.0,165.0,80.0,17.0,65.0
112,1097,华泰柏瑞积极,-4.01,28.85,65.98,-1.91,1.74,3.84,104.0,98.0,160.0,109.0,104.0,125.0
113,2871,华夏智胜价值,-4.12,21.02,56.4,-4.81,0.01,6.16,105.0,137.0,222.0,173.0,143.0,80.0
115,6138,国联安价值优,-4.18,-4.69,38.75,-4.46,-5.75,-0.54,107.0,548.0,356.0,162.0,494.0,312.0
118,2872,华夏智胜价值,-4.36,20.43,89.25,-5.06,-0.06,6.02,109.0,142.0,92.0,181.0,146.0,84.0
119,161907,万家中证红利,-4.44,22.13,37.11,-5.56,1.43,4.08,110.0,130.0,377.0,194.0,116.0,119.0
131,985,嘉实逆向策略,-4.87,36.07,95.31,-5.26,2.34,10.1,119.0,80.0,81.0,188.0,93.0,47.0
133,326,南方中小盘成,-4.92,12.9,72.93,-4.69,-6.75,3.38,121.0,205.0,135.0,170.0,583.0,140.0
134,4640,华夏节能环保,-5.02,39.76,168.15,-4.48,1.64,2.43,122.0,69.0,19.0,163.0,107.0,179.0
137,90010,大成中证红利,-5.27,17.42,29.39,-6.5,1.55,3.55,124.0,165.0,472.0,228.0,113.0,132.0
138,160919,大成产业升级,-5.3,24.58,102.22,-4.87,5.36,5.28,125.0,116.0,71.0,175.0,41.0,100.0
140,1917,招商量化精选,-5.3,30.33,102.22,-5.62,0.0,5.39,125.0,94.0,71.0,195.0,144.0,96.0
141,1725,汇添富高端制,-5.31,15.42,77.99,-6.02,-1.49,5.67,126.0,181.0,117.0,210.0,201.0,93.0
142,7801,大成中证红利,-5.34,17.19,28.87,-6.57,1.56,3.47,127.0,166.0,479.0,230.0,112.0,137.0
145,161725,招商中证白酒,-5.47,20.59,78.13,-2.21,-6.94,3.59,130.0,140.0,116.0,116.0,602.0,131.0
146,628,大成高新技术,-5.47,17.84,79.15,-6.01,-5.72,-2.36,130.0,161.0,112.0,209.0,493.0,409.0
154,7950,招商量化精选,-5.87,28.75,99.23,-6.18,-0.15,5.07,138.0,99.0,75.0,215.0,151.0,102.0
156,418,景顺长城成长,-5.96,18.2,99.3,0.0,-0.07,5.73,140.0,158.0,74.0,80.0,147.0,90.0
158,502003,易方达中证军,-6.09,13.19,63.37,-7.62,3.14,2.25,142.0,202.0,175.0,264.0,69.0,186.0
161,5313,万家中证10,-6.23,22.21,69.2,-6.36,-0.79,0.59,144.0,129.0,148.0,222.0,170.0,253.0
163,160632,鹏华酒A,-6.25,17.56,85.91,0.0,-6.62,1.86,146.0,163.0,98.0,80.0,570.0,206.0
166,100032,富国中证红利,-6.3,17.16,30.15,-7.39,0.29,2.99,148.0,167.0,463.0,256.0,135.0,154.0
167,450009,国富中小盘股,-6.32,9.43,62.41,-5.93,-2.65,1.57,149.0,242.0,179.0,205.0,253.0,218.0
169,163115,申万菱信中证,-6.32,10.26,47.98,-7.83,3.05,1.89,149.0,234.0,279.0,273.0,73.0,203.0
174,6748,富国中证价值,-6.53,13.47,45.87,-7.54,-4.94,-3.88,153.0,200.0,290.0,261.0,424.0,525.0
175,1631,天弘中证食品,-6.62,-4.15,52.35,-4.41,-7.0,1.05,154.0,533.0,249.0,159.0,608.0,233.0
176,5314,万家中证10,-6.62,21.21,67.06,-6.74,-0.89,0.38,154.0,133.0,156.0,236.0,173.0,264.0
183,161024,富国中证军工,-6.73,8.28,38.94,-8.29,2.86,1.95,159.0,258.0,352.0,286.0,78.0,200.0
187,1632,天弘中证食品,-6.81,-4.53,51.44,-4.6,-7.05,0.95,162.0,544.0,258.0,168.0,613.0,238.0
189,1692,南方国策动力,-6.88,21.74,93.33,-7.77,-1.11,3.49,164.0,131.0,85.0,270.0,184.0,135.0
191,7191,富国中证价值,-6.9,12.54,44.11,-7.9,-5.03,-4.07,166.0,212.0,299.0,276.0,431.0,538.0
195,6165,建信中证10,-7.1,12.75,64.39,0.0,-1.45,0.57,170.0,207.0,169.0,80.0,199.0,255.0
196,6751,富国互联科技,-7.12,20.4,113.93,-6.58,4.12,10.73,171.0,143.0,52.0,231.0,57.0,43.0
206,110022,易方达消费行,-7.33,-3.82,35.63,-4.53,-4.3,7.05,180.0,524.0,391.0,165.0,369.0,70.0
207,3017,广发中证军工,-7.33,7.39,39.64,-8.86,2.45,1.64,180.0,273.0,346.0,307.0,89.0,214.0
