比较,序号,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,近5年,手续费,可购
,,代码,,,,,,,,,,,,,,,,,全部
,1,1678,英大国企改革,9月19日,1.5935,2.2435,-0.34%,-3.52%,4.11%,9.33%,34.28%,19.96%,53.24%,105.13%,28.26%,143.15%,14.71%,0.15%,
,2,756,建信潜力新蓝,9月19日,3.971,3.971,0.03%,-7.11%,-6.21%,4.50%,19.21%,14.93%,89.91%,181.03%,5.98%,297.10%,---,0.15%,
,3,161032,富国中证煤炭,9月20日,2.149,1.497,1.08%,-3.63%,3.02%,9.98%,24.65%,13.52%,128.26%,133.16%,38.56%,49.73%,7.83%,0.00%,
,4,13275,富国中证煤炭,9月20日,2.145,2.145,1.08%,-3.64%,3.03%,9.94%,24.49%,13.31%,---,---,38.30%,43.10%,7.63%,0.00%,
,5,8279,国泰中证煤炭,9月19日,2.1915,2.4915,0.80%,-5.82%,1.89%,3.56%,22.96%,12.34%,128.17%,---,37.31%,159.66%,7.82%,0.10%,
,6,168204,中融中证煤炭,9月19日,1.968,1.968,0.82%,-5.93%,1.71%,3.58%,22.01%,12.33%,128.48%,128.55%,35.63%,48.91%,---,0.00%,
,7,8280,国泰中证煤炭,9月19日,2.1722,2.4722,0.80%,-5.83%,1.86%,3.48%,22.77%,12.00%,126.82%,---,37.02%,157.64%,7.51%,0.00%,
,8,729,建信中小盘先,9月19日,4.334,4.334,0.00%,-7.27%,-6.47%,4.51%,16.22%,11.44%,98.44%,216.35%,2.58%,333.40%,---,0.15%,
,9,12724,国泰中证畜牧,9月19日,1.0164,1.0164,0.48%,-1.99%,-2.92%,-0.17%,1.18%,9.86%,---,---,-5.42%,1.64%,11.15%,0.10%,
,10,3298,嘉实物流产业,9月20日,2.607,2.607,-0.46%,-2.69%,0.58%,1.68%,4.61%,9.68%,33.69%,85.55%,1.56%,160.70%,7.95%,0.15%,
,11,12725,国泰中证畜牧,9月19日,1.0127,1.0127,0.48%,-2.00%,-2.96%,-0.26%,1.02%,9.52%,---,---,-5.62%,1.27%,10.83%,0.00%,
,12,3299,嘉实物流产业,9月20日,2.56,2.56,-0.43%,-2.66%,0.55%,1.59%,4.36%,9.17%,32.44%,83.25%,1.23%,156.00%,7.43%,0.00%,
,13,6195,国金量化多因,9月19日,1.7504,1.7504,-1.56%,-5.93%,-8.05%,3.23%,9.76%,8.12%,29.76%,48.81%,6.58%,75.04%,8.77%,0.15%,
,14,991,工银战略转型,9月20日,3.891,3.891,-1.49%,-3.06%,1.75%,1.73%,3.51%,6.66%,40.88%,174.01%,-0.69%,289.10%,6.08%,0.15%,
,15,11473,工银战略转型,9月20日,3.861,3.861,-1.48%,-3.06%,1.71%,1.61%,3.24%,6.13%,---,---,-1.03%,20.09%,5.55%,0.00%,
,16,161724,招商中证煤炭,9月20日,1.9754,1.3965,1.94%,-3.18%,0.38%,4.35%,18.89%,5.89%,122.11%,134.35%,33.01%,49.40%,1.28%,0.10%,
,17,13596,招商中证煤炭,9月20日,1.9734,1.9734,1.94%,-3.18%,0.37%,4.32%,18.83%,5.78%,---,---,32.92%,-0.19%,1.18%,0.00%,
,18,11229,创金合信数字,9月19日,1.5281,1.5281,-0.86%,-3.45%,-5.96%,0.69%,3.98%,5.28%,---,---,-9.10%,52.81%,---,0.15%,
,19,7671,建信中证红利,9月19日,1.3329,1.3329,0.41%,-1.63%,2.89%,0.79%,5.42%,4.97%,0.05%,33.28%,-2.96%,33.29%,---,0.12%,
,20,11230,创金合信数字,9月19日,1.5155,1.5155,-0.87%,-3.46%,-6.00%,0.57%,3.72%,4.76%,---,---,-9.42%,51.55%,---,0.00%,
,21,7672,建信中证红利,9月19日,1.3164,1.3164,0.40%,-1.64%,2.86%,0.68%,5.20%,4.55%,-0.77%,31.63%,-3.24%,31.64%,---,0.00%,
,22,8445,融通产业趋势,9月20日,1.4742,1.4742,2.32%,-5.63%,-8.71%,10.20%,15.88%,4.37%,28.61%,---,-4.07%,47.42%,4.04%,0.15%,
,23,8928,泰达消费红利,9月20日,1.7271,1.7271,1.07%,-3.27%,-2.65%,-4.70%,2.66%,4.22%,19.18%,---,-9.38%,72.71%,5.66%,0.12%,
,24,8929,泰达消费红利,9月20日,1.7165,1.7165,1.07%,-3.27%,-2.67%,-4.76%,2.53%,3.97%,18.58%,---,-9.54%,71.65%,5.40%,0.00%,
,25,501059,西部利得国企,9月19日,2.1002,2.1002,0.53%,-3.75%,2.92%,3.48%,13.14%,3.57%,36.68%,77.34%,13.38%,110.02%,0.59%,0.12%,
,26,9439,西部利得国企,9月19日,2.0533,2.0533,0.52%,-3.76%,2.89%,3.40%,12.97%,3.25%,35.84%,---,13.14%,62.48%,0.29%,0.00%,
,27,979,景顺长城沪港,9月19日,1.625,1.625,-0.49%,-2.34%,3.04%,4.84%,6.35%,3.24%,12.69%,38.89%,1.06%,62.50%,---,0.15%,
,28,160628,鹏华中证80,9月19日,1.019,1.75,0.49%,-2.95%,4.73%,6.70%,0.89%,3.24%,-17.76%,-0.85%,-2.11%,64.05%,---,0.12%,
,29,9891,融通产业趋势,9月20日,1.1154,1.1154,2.32%,-5.72%,-9.02%,9.59%,15.23%,3.04%,12.73%,---,-4.76%,11.54%,2.60%,0.15%,
,30,5561,创金合信中证,9月19日,1.6147,1.6147,0.00%,-3.62%,3.48%,3.13%,8.50%,2.93%,34.75%,65.49%,8.27%,61.47%,---,0.15%,
,31,5562,创金合信中证,9月19日,1.6011,1.6011,0.00%,-3.62%,3.47%,3.08%,8.39%,2.72%,34.22%,64.54%,8.12%,60.11%,---,0.00%,
,32,320020,诺安策略精选,9月20日,1.9676,2.868,-0.40%,-3.32%,-2.25%,-0.63%,4.34%,2.52%,22.86%,55.48%,-6.46%,186.80%,1.54%,0.15%,
,33,8114,天弘中证红利,9月19日,1.2735,1.2735,-0.33%,-3.64%,-0.94%,-1.58%,0.30%,2.51%,20.44%,---,-0.48%,27.35%,0.86%,0.10%,
,34,5505,前海开源中药,9月19日,1.9205,1.9205,-0.75%,-4.55%,-5.96%,-10.37%,-7.15%,2.37%,6.52%,29.61%,-16.55%,92.05%,---,0.15%,
,35,8115,天弘中证红利,9月19日,1.2662,1.2662,-0.34%,-3.65%,-0.96%,-1.63%,0.19%,2.30%,19.96%,---,-0.62%,26.62%,0.65%,0.00%,
,36,1208,诺安低碳经济,9月20日,2.133,2.133,-0.47%,-3.53%,-2.29%,-0.84%,3.44%,2.20%,25.99%,76.57%,-7.06%,113.30%,1.43%,0.15%,
